ID,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15
83,16.25,9,9.75,14.5,7.875,4.5,3.5,4.125,8,14,9.25,6.142857143,9.875,2.875,7.125
84,46.75,27.25,30.875,19.375,32.375,29,25.625,28.875,20,23.875,23.25,24.71428571,26.625,24.75,30.5
85,42.625,41.375,34.75,45.625,35.375,48.75,46.5,54.875,35.875,55.875,42.875,52.85714286,44.875,55.75,46.375
86,57,46.875,52.625,57,55.125,61,54.5,69.25,48.875,50.875,44.5,46.71428571,29.875,27.625,29.25
88,18.875,20.375,17.75,21.75,18,16.375,17.75,13.875,12.25,23.375,34.5,42.28571429,36.375,22.625,50.625
89,33.625,29.5,32.5,33.375,26.375,29.5,30.125,28.25,25.625,32.25,36.375,35.14285714,23.625,29.375,25.875
90,69.625,54.875,51.625,40.625,49.5,36.25,47.25,47.5,47.875,40.125,52.75,49,54.5,67.125,60.5
91,73,72.125,57.75,77.875,77.75,70.875,84.25,85.5,77.875,83.625,46,66.28571429,49.25,56.5,38.625
92,25.25,29,27.25,25,26.875,31.5,22.25,30.125,21.125,28.375,27.75,27.57142857,26,25.5,27.875
93,8.125,13.375,10.75,13.875,13.875,19.5,6.875,16.25,16.875,29.875,23.375,21.71428571,18.875,15.625,22.25
94,21.5,8.75,6.25,11.75,8.25,14,15.75,14.125,10.5,25.75,7.125,10,7.5,14.125,8.125
95,51.5,47,49.25,33.875,40.5,37.875,43.75,37.125,48.125,41.625,68,45.28571429,63.625,39.5,58.625
96,64.75,56.5,56,63,63.125,46,55.875,44.5,49.875,49.625,69.375,68.71428571,72.125,70.625,63.5
97,28.375,37,32.75,29.75,30.875,18.875,24,20.625,30.125,35.25,41.75,32,55,30.125,40.25
98,42.375,51,55.375,68.625,61.5,70.75,50.5,67.125,51.25,57.625,61.875,76.42857143,60.75,45.25,59.5
100,87.5,67.875,61.625,62.625,82.125,75.75,72,65.5,75.5,65.625,72.375,40,45.75,44.625,56.625
101,30.75,35.25,35,27.125,24.25,31.625,20.625,29.5,11.25,22.125,38.875,35.85714286,30.875,24.625,33.25
102,133.125,114.25,107.625,74.375,117.25,87.625,127.75,96,102,101.875,90.875,98.42857143,106.375,105,88.5
103,23,16.625,43.5,2.875,15.875,31.875,26.875,29.875,16.25,31.125,69.25,62.85714286,80.25,38.25,73.375
104,44.875,28.875,28.25,37.625,33,25.75,33.375,27.875,34,40.875,48.125,46.28571429,48.375,52,48.875
105,38.125,22.5,20.25,20.375,47.125,26.875,20.5,20,38.375,34,21.75,20.42857143,25.25,24.75,23.375
106,35.125,37.5,29,37.125,28.75,37.75,35.75,41.75,39.375,39.625,42.5,41.85714286,36.375,38.625,37
107,33.25,27,40.875,39.375,21.625,35,25.75,33.25,20.625,31.875,40.625,35,31.125,25.875,37.75
108,18.5,19.75,12.375,16.5,20.25,20,27.375,28.625,26,28.75,12.875,17,15.75,17.625,11.625
109,27.25,25.625,20,25.75,25,35,23.625,28.625,26.875,31.375,22.5,16.71428571,16.875,18.5,12.375
110,48.125,38,35.875,53.375,51.625,55.5,40.375,58.625,44.25,52.25,43.875,51.85714286,43.75,41.375,40
111,122.75,108.75,129.625,76,123.875,107.75,124.875,122.25,121,105.125,98.125,67.57142857,61.875,65.25,51
112,26.125,30.375,34,30.125,28.625,36,27.875,38.375,25,27,40,39.42857143,33.375,29.875,55.625
113,28.75,33.75,33.375,27.125,21,16.25,21.625,16.625,19.75,27.875,38.5,31.14285714,48,27.375,44.625
114,48.625,37.375,39.875,40.625,42.875,36,42.625,35.125,46.875,48.25,38,32.85714286,30,31.625,27.625
116,14.75,14.125,19.75,14.25,12.25,33.75,14.75,26.625,9.375,23.125,9.375,8.142857143,7.875,11.75,12.875
