ID,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15
49471,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49472,0,0,0,0.25,0,0,0.125,0,0.25,0,0,0,0.625,0.125,0
49473,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49474,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0
49475,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49477,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49478,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49479,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49480,0.5,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49481,0.125,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49483,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49484,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49485,0,0,0,0,0,1.125,0,0.125,0.125,0,0,0,0.5,0,0.375
49486,0,0.875,0,0,0,0.5,0,0,0.25,0,0,0,0.25,0,0.25
49487,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49488,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49489,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49490,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0
49493,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49494,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49495,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49496,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49497,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49498,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49499,0,0,0,0,0,0,0.625,0,0,0,0,0,0.375,0,0
49500,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49501,0.25,0,0,0,0,0.375,0,0.625,0,0,0,0,0.125,0.125,0
49502,0,0,0.25,0,0,0,0.375,0,0,0,0,0,0.125,0,0
49503,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49504,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0
49505,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49507,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49508,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49509,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0
49510,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49511,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49512,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49513,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49514,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49515,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49516,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49517,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49518,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49519,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49520,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0
49521,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.625
49522,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49523,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49524,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49525,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49526,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49527,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49528,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49529,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49530,0,0.875,0,0,0,0,0.5,0,0.125,0,0,0,0.125,0,0
49531,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49532,0,0.125,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49533,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49534,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49536,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49537,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49538,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49539,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49540,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49541,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49542,0.375,0,0,0,0,1,0.75,1,0.875,0,0,0,0,0.25,0
49543,0.375,0,0,0,0,0.75,0,0,0.25,0,0,0,0.75,1,0
49544,0,0.375,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0
49545,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49546,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49547,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49548,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0
49551,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49554,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49555,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49557,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0
49559,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49561,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49562,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49564,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49565,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49566,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0
49567,0,0,0,0,0,0.125,0,0,0,0,0,0,0.125,0,0
49569,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49570,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49571,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49572,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49574,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49575,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49576,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49578,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49579,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0
49580,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49581,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49582,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49583,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49585,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49586,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49587,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49588,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49589,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49590,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49591,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49592,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49593,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49594,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
49595,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49596,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49598,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0
49599,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49600,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49601,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0
49602,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0
49603,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49604,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49605,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49606,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49608,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49611,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49613,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49614,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49615,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49616,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49618,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49619,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49621,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0
49622,0,0,0,0,0,0,0,0,0.25,0,0,0,0.125,0,0.125
49623,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49624,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49625,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49626,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0
49627,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49628,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49629,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49631,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49632,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49633,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49636,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0
49639,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49640,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49641,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49642,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49643,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49644,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49645,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0
49646,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49647,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49648,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49649,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0
49650,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49654,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49657,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49661,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49663,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49664,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49665,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49666,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49667,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49668,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49669,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49672,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49673,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49674,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49675,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49677,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49678,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49679,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49680,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49682,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49683,0,0,0.125,0,0,0,0,0,0,0,0,0,0.125,0,0.25
49684,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49685,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49686,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49687,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49688,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125
49690,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49691,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49694,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49695,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49697,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49700,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49702,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0
49705,0.625,0.625,0.375,0,0,0.25,0,0.375,0.625,0,0,0,0.125,0.375,0
49707,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49708,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49709,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49710,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0
49711,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49712,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0
49713,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0
49715,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49716,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49717,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49718,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49719,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49721,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49723,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49724,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49725,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49726,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0
49728,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49729,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49734,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49735,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49736,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49737,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49739,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49741,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49742,0,0.125,0,0.25,0.125,0.875,0,0,0,0,0,0,0.125,0.125,0
49743,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49744,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49745,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49750,0,0,0,0.125,0,0,0,0,1,0,0,0,0.125,0,0
49754,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49755,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49756,0,0,0,0,0,0,0.25,0,0,0,0,0,0.375,0,0
49757,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49758,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49759,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49761,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49762,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49763,0,0.75,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49767,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49768,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49769,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49771,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
49772,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0
49775,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49776,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49779,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49782,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49784,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49787,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49788,0,0,0.25,0.25,0,0,0,0.375,0.625,0,0,0,0.125,0.125,0.625
49789,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49790,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49791,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49793,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.25
49794,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49795,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49798,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49801,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49802,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49803,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49805,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49806,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49808,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49809,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49810,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49811,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49812,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49813,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49814,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49815,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49816,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49818,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49819,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25
49820,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49821,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49822,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49823,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49826,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49827,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
49828,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49829,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49830,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49833,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49834,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49835,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49836,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49837,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49841,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49842,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49843,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49844,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49845,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49848,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49851,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49852,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49853,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49854,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49855,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49856,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49857,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49858,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49859,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49860,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49862,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
49863,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49864,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49865,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.125
49867,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49868,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49869,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0
49871,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49873,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49875,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49876,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49877,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49878,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49880,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49881,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49884,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49886,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49887,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49888,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49889,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49890,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49891,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49892,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49893,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49894,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49895,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49897,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49901,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49905,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49906,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49907,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49909,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49912,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49913,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49915,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49916,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49918,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49919,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49921,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49922,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49923,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49925,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49927,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49929,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49930,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49931,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49932,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49934,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49935,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49937,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49940,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49942,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49944,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49948,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49950,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49951,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49952,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49956,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49957,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49958,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49960,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49962,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49963,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49966,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49967,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49969,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49970,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49971,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49974,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49975,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0
49978,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49979,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
49981,0,0,0,0,0,0.375,0,0,0,0,0,0,0.375,0,0
49982,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49983,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49984,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
49985,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49987,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49988,0,0.625,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49989,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49990,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49991,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49995,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49996,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49997,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
49999,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
50000,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
50006,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
50007,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
50008,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
50012,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
50013,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
50014,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
50015,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0.125,0,0
50017,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
50019,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
50020,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0
50021,0,0.25,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0
50024,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
50026,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
50027,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
50028,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0
50030,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
50031,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
